transaction_id,timestamp,amount,merchant_category,card_present,hour_of_day,day_of_week,country_mismatch,previous_fraud_flag,is_fraud
TXN0000026,2024-01-02 22:49:35,35.26,online,1,22,1,0,0,0
TXN0000027,2024-01-02 23:33:55,64.55,travel,1,23,1,1,0,0
TXN0000028,2024-01-02 23:56:39,3.56,retail,0,23,1,0,0,0
TXN0000029,2024-01-02 23:56:48,155.11,travel,1,23,1,0,0,0
TXN0000030,2024-01-03 03:21:42,21.78,travel,0,3,2,0,0,0
TXN0000031,2024-01-03 08:03:08,62.73,grocery,1,8,2,1,0,0
TXN0000032,2024-01-03 08:35:20,69.75,fuel,1,8,2,0,0,0
TXN0000033,2024-01-03 09:02:11,171.56,retail,1,9,2,0,0,0
TXN0000034,2024-01-03 13:59:05,29.2,online,1,13,2,1,0,0
TXN0000035,2024-01-03 16:04:28,2.59,restaurant,1,16,2,0,0,0
TXN0000036,2024-01-03 16:29:36,35.47,grocery,1,16,2,0,1,0
TXN0000037,2024-01-03 17:45:41,42.13,retail,1,17,2,0,0,0
TXN0000038,2024-01-03 18:26:18,9.57,retail,0,18,2,0,1,0
TXN0000039,2024-01-03 20:47:52,39.53,retail,1,20,2,0,0,0
TXN0000040,2024-01-03 21:44:00,21.47,restaurant,1,21,2,0,0,0
TXN0000041,2024-01-03 21:50:39,6.61,grocery,1,21,2,0,0,0
TXN0000042,2024-01-03 23:10:22,74.13,retail,1,23,2,0,0,0
TXN0000043,2024-01-04 01:25:22,16.84,restaurant,1,1,3,0,0,0
TXN0000044,2024-01-04 02:52:09,20.34,fuel,0,2,3,0,0,0
TXN0000045,2024-01-04 03:10:32,19.01,grocery,1,3,3,0,0,0
TXN0000046,2024-01-04 03:29:13,145.85,restaurant,0,3,3,0,0,0
TXN0000047,2024-01-04 05:15:57,31.53,restaurant,1,5,3,0,0,0
TXN0000048,2024-01-04 09:06:56,36.41,retail,1,9,3,0,0,0
TXN0000049,2024-01-04 10:43:04,19.52,retail,1,10,3,0,0,0
TXN0000050,2024-01-04 14:51:57,57.71,travel,0,14,3,0,0,0
TXN0000051,2024-01-04 16:30:08,167.2,fuel,0,16,3,0,0,0
TXN0000052,2024-01-04 17:16:56,72.06,restaurant,1,17,3,0,0,0
TXN0000053,2024-01-04 21:58:27,75.51,travel,0,21,3,0,0,0
TXN0000054,2024-01-04 23:47:17,68.54,grocery,1,23,3,0,0,0
TXN0000055,2024-01-05 00:30:21,6.32,restaurant,1,0,4,0,0,1
TXN0000056,2024-01-05 09:34:27,11.57,retail,0,9,4,0,0,0
TXN0000057,2024-01-05 09:55:22,25.89,grocery,1,9,4,0,0,0
TXN0000058,2024-01-05 11:17:58,13.86,retail,1,11,4,0,0,0
TXN0000059,2024-01-05 11:46:17,9.23,travel,1,11,4,0,0,0
TXN0000060,2024-01-05 13:14:10,3.5,online,0,13,4,0,0,0
TXN0000061,2024-01-06 00:41:22,6.58,retail,1,0,5,0,0,0
TXN0000062,2024-01-06 01:49:39,24.34,retail,0,1,5,0,0,0
TXN0000063,2024-01-06 02:04:54,30.47,restaurant,1,2,5,0,0,0
TXN0000064,2024-01-06 03:43:57,12.79,grocery,0,3,5,0,0,0
TXN0000065,2024-01-06 06:26:37,36.41,grocery,1,6,5,0,0,0
TXN0000066,2024-01-06 07:39:21,19.68,travel,1,7,5,0,0,0
TXN0000067,2024-01-06 08:37:18,122.57,healthcare,1,8,5,0,0,0
TXN0000068,2024-01-06 11:20:54,27.28,grocery,1,11,5,0,0,0
TXN0000069,2024-01-06 17:57:54,76.37,retail,1,17,5,0,0,0
TXN0000070,2024-01-06 18:27:23,42.26,online,0,18,5,0,0,0
TXN0000071,2024-01-06 22:10:43,6.16,online,1,22,5,0,0,0
TXN0000072,2024-01-07 01:14:20,29.7,retail,1,1,6,0,0,0
TXN0000073,2024-01-07 03:26:51,7.52,retail,0,3,6,1,0,0
TXN0000074,2024-01-07 07:34:44,29.09,travel,1,7,6,0,0,0
TXN0000075,2024-01-07 07:45:03,13.54,online,1,7,6,0,0,0
TXN0000076,2024-01-07 10:46:42,52.37,grocery,1,10,6,0,0,0
TXN0000077,2024-01-07 12:15:00,6.61,fuel,1,12,6,0,0,0
TXN0000078,2024-01-07 12:27:43,33.7,grocery,1,12,6,0,0,0
TXN0000079,2024-01-07 13:20:31,65.82,online,0,13,6,0,0,0
TXN0000080,2024-01-07 15:05:10,98.41,grocery,1,15,6,0,0,0
TXN0000081,2024-01-07 17:30:54,13.24,grocery,1,17,6,0,0,0
TXN0000082,2024-01-07 19:07:20,33.83,grocery,1,19,6,0,0,0
TXN0000083,2024-01-07 21:09:53,41.3,retail,1,21,6,0,0,0
TXN0000084,2024-01-07 22:44:20,211.99,restaurant,1,22,6,0,0,0
TXN0000085,2024-01-08 03:01:48,5.6,grocery,0,3,0,1,0,0
TXN0000086,2024-01-08 05:09:14,11.1,retail,1,5,0,0,0,1
TXN0000087,2024-01-08 11:49:25,958.49,restaurant,1,11,0,0,0,0
TXN0000088,2024-01-08 12:07:21,23.86,online,0,12,0,0,0,0
TXN0000089,2024-01-08 15:06:50,3.42,entertainment,0,15,0,0,0,0
TXN0000090,2024-01-08 17:15:23,16.46,travel,0,17,0,0,0,0
TXN0000091,2024-01-08 17:19:35,1.19,grocery,0,17,0,0,0,0
TXN0000092,2024-01-08 21:19:18,44.22,restaurant,1,21,0,0,0,0
TXN0000093,2024-01-08 22:17:50,87.51,fuel,1,22,0,0,0,0
TXN0000094,2024-01-08 23:14:34,11.09,grocery,0,23,0,1,0,0
TXN0000095,2024-01-09 00:10:41,18.82,restaurant,0,0,1,0,0,0
TXN0000096,2024-01-09 01:43:12,100.32,fuel,0,1,1,0,0,0
TXN0000097,2024-01-09 02:45:48,4.05,fuel,1,2,1,0,0,0
TXN0000098,2024-01-09 03:04:29,6.78,restaurant,0,3,1,0,0,0
TXN0000099,2024-01-09 06:57:27,25.19,travel,1,6,1,0,0,0
TXN0000100,2024-01-09 07:45:42,13.43,retail,1,7,1,0,0,0
TXN0000101,2024-01-09 10:42:26,23.27,online,1,10,1,0,0,0
TXN0000102,2024-01-09 11:28:25,7.27,grocery,1,11,1,0,0,0
TXN0000103,2024-01-09 12:24:37,42.83,grocery,0,12,1,1,0,1
TXN0000104,2024-01-09 14:49:04,27.69,retail,1,14,1,0,1,0
TXN0000105,2024-01-09 15:20:10,64.01,grocery,0,15,1,1,0,0
TXN0000106,2024-01-09 15:29:35,42.12,travel,1,15,1,0,0,0
TXN0000107,2024-01-09 16:06:25,42.44,restaurant,1,16,1,0,0,0
TXN0000108,2024-01-09 16:12:15,5.84,entertainment,1,16,1,0,0,0
TXN0000109,2024-01-09 17:56:48,59.81,online,1,17,1,0,0,0
TXN0000110,2024-01-09 17:58:49,22.26,retail,0,17,1,0,0,0
TXN0000111,2024-01-09 22:11:21,27.11,online,1,22,1,0,0,0
TXN0000112,2024-01-10 01:27:02,116.5,restaurant,1,1,2,0,0,0
TXN0000113,2024-01-10 01:46:08,13.97,retail,1,1,2,0,0,0
TXN0000114,2024-01-10 03:05:29,167.57,grocery,1,3,2,0,0,0
TXN0000115,2024-01-10 03:53:15,187.42,entertainment,1,3,2,0,0,0
TXN0000116,2024-01-10 04:12:27,81.72,online,0,4,2,0,0,0
TXN0000117,2024-01-10 04:47:43,10.21,entertainment,1,4,2,0,1,0
TXN0000118,2024-01-10 07:47:25,2.4,entertainment,1,7,2,0,0,0
TXN0000119,2024-01-10 14:48:29,120.86,fuel,0,14,2,0,0,0
TXN0000120,2024-01-10 15:17:10,37.85,grocery,0,15,2,1,0,0
TXN0000121,2024-01-10 16:25:26,13.54,fuel,1,16,2,1,0,0
TXN0000122,2024-01-10 16:46:19,135.41,retail,1,16,2,0,0,0
TXN0000123,2024-01-10 16:49:16,11.78,restaurant,0,16,2,0,0,0
TXN0000124,2024-01-10 20:22:18,19.91,retail,1,20,2,0,0,0
TXN0000125,2024-01-10 22:06:55,62.17,restaurant,1,22,2,0,0,0
TXN0000126,2024-01-11 05:27:43,8.7,restaurant,0,5,3,0,0,0
TXN0000127,2024-01-11 14:02:08,29.04,grocery,0,14,3,1,1,1
TXN0000128,2024-01-11 16:12:40,122.36,grocery,0,16,3,1,0,0
TXN0000129,2024-01-11 19:21:35,42.66,retail,1,19,3,0,0,0
TXN0000130,2024-01-11 21:08:50,147.96,entertainment,0,21,3,0,0,0
TXN0000131,2024-01-11 21:21:09,129.07,travel,1,21,3,0,0,0
TXN0000132,2024-01-11 23:16:41,33.42,retail,0,23,3,0,0,0
TXN0000133,2024-01-11 23:43:45,2.01,restaurant,0,23,3,0,0,0
TXN0000134,2024-01-12 00:07:52,8.79,retail,1,0,4,0,0,0
TXN0000135,2024-01-12 00:12:47,82.76,grocery,1,0,4,0,0,0
TXN0000136,2024-01-12 05:57:51,5.15,online,1,5,4,0,0,0
TXN0000137,2024-01-12 06:37:16,22.38,grocery,0,6,4,0,0,0
TXN0000138,2024-01-12 08:01:24,49.71,online,1,8,4,0,0,0
TXN0000139,2024-01-12 08:10:10,193.15,online,0,8,4,1,0,0
TXN0000140,2024-01-12 10:02:36,16.61,retail,1,10,4,0,0,0
TXN0000141,2024-01-12 11:44:09,15.3,entertainment,1,11,4,0,0,0
TXN0000142,2024-01-12 14:20:39,31.1,restaurant,1,14,4,0,0,0
TXN0000143,2024-01-12 15:32:26,50.46,entertainment,0,15,4,0,0,0
TXN0000144,2024-01-12 16:42:06,27.52,online,1,16,4,0,0,0
TXN0000145,2024-01-12 17:37:33,116.64,online,1,17,4,1,0,0
TXN0000146,2024-01-12 19:06:45,12.69,travel,1,19,4,0,0,0
TXN0000147,2024-01-12 19:38:12,38.25,online,0,19,4,0,0,0
TXN0000148,2024-01-12 21:30:35,56.5,healthcare,0,21,4,0,0,0
TXN0000149,2024-01-12 23:24:56,20.49,restaurant,1,23,4,0,0,0
TXN0000150,2024-01-13 03:59:41,90.71,online,1,3,5,0,0,1
TXN0000151,2024-01-13 08:46:10,39.6,online,1,8,5,0,0,0
TXN0000152,2024-01-13 11:24:41,85.34,retail,1,11,5,0,0,0
TXN0000153,2024-01-13 15:54:37,41.8,fuel,0,15,5,0,0,0
TXN0000154,2024-01-13 17:11:02,52.02,restaurant,1,17,5,0,0,0
TXN0000155,2024-01-13 19:37:23,15.5,retail,1,19,5,1,0,0
TXN0000156,2024-01-13 19:53:21,15.53,grocery,0,19,5,0,0,0
TXN0000157,2024-01-13 20:05:15,143.92,grocery,1,20,5,0,0,0
TXN0000158,2024-01-13 20:08:29,71.0,online,1,20,5,0,0,0
TXN0000159,2024-01-13 21:03:48,9.7,restaurant,1,21,5,0,0,0
TXN0000160,2024-01-14 01:54:11,41.14,restaurant,1,1,6,0,1,0
TXN0000161,2024-01-14 01:58:57,1.92,grocery,1,1,6,0,0,0
TXN0000162,2024-01-14 02:28:27,16.63,retail,1,2,6,0,0,0
TXN0000163,2024-01-14 03:53:02,104.92,online,1,3,6,0,0,0
TXN0000164,2024-01-14 04:47:07,28.5,entertainment,1,4,6,0,0,0
TXN0000165,2024-01-14 05:58:14,38.15,grocery,0,5,6,0,0,0
TXN0000166,2024-01-14 07:07:42,0.89,retail,1,7,6,0,0,0
TXN0000167,2024-01-14 08:08:48,20.68,retail,1,8,6,0,0,0
TXN0000168,2024-01-14 11:51:48,49.7,retail,1,11,6,0,0,0
TXN0000169,2024-01-14 12:51:27,57.88,retail,1,12,6,0,0,0
TXN0000170,2024-01-14 13:20:47,105.09,restaurant,1,13,6,0,0,0
TXN0000171,2024-01-14 14:19:18,25.73,retail,1,14,6,0,0,0
TXN0000172,2024-01-14 14:25:04,27.15,retail,0,14,6,0,0,0
TXN0000173,2024-01-14 15:44:02,6.7,retail,1,15,6,0,0,0
TXN0000174,2024-01-14 18:40:23,25.91,retail,0,18,6,0,0,0
TXN0000175,2024-01-15 01:37:40,7.29,online,1,1,0,0,1,0
TXN0000176,2024-01-15 02:31:26,3.61,online,1,2,0,1,0,0
TXN0000177,2024-01-15 03:27:41,9.01,restaurant,1,3,0,0,0,0
TXN0000178,2024-01-15 05:27:33,202.44,online,1,5,0,0,0,0
TXN0000179,2024-01-15 07:07:30,23.93,online,0,7,0,0,0,0
TXN0000180,2024-01-15 10:13:36,43.11,grocery,0,10,0,0,0,0
TXN0000181,2024-01-15 10:32:50,17.88,retail,0,10,0,0,0,0
TXN0000182,2024-01-15 15:13:56,3.86,restaurant,1,15,0,0,0,0
TXN0000183,2024-01-15 15:43:31,101.83,online,0,15,0,0,0,1
TXN0000184,2024-01-15 16:37:21,2.44,grocery,1,16,0,0,0,0
TXN0000185,2024-01-15 17:53:50,17.02,travel,1,17,0,0,0,0
TXN0000186,2024-01-15 20:03:12,31.01,restaurant,1,20,0,0,0,0
TXN0000187,2024-01-15 20:30:06,43.67,retail,1,20,0,0,0,0
TXN0000188,2024-01-15 22:41:43,13.85,fuel,1,22,0,0,0,0
TXN0000189,2024-01-15 23:51:10,3.65,restaurant,0,23,0,1,1,0
TXN0000190,2024-01-16 01:09:16,12.66,entertainment,1,1,1,0,0,0
TXN0000191,2024-01-16 04:32:24,13.48,healthcare,1,4,1,0,0,0
TXN0000192,2024-01-16 04:59:17,13.1,entertainment,1,4,1,0,0,0
TXN0000193,2024-01-16 07:32:17,106.07,grocery,0,7,1,0,0,0
TXN0000194,2024-01-16 10:57:07,7.72,online,0,10,1,0,0,0
TXN0000195,2024-01-16 10:59:26,47.52,grocery,1,10,1,0,0,0
TXN0000196,2024-01-16 11:55:53,40.04,restaurant,1,11,1,0,0,0
TXN0000197,2024-01-16 12:45:14,104.85,entertainment,1,12,1,0,0,0
TXN0000198,2024-01-16 18:06:16,28.23,travel,1,18,1,1,0,0
TXN0000199,2024-01-16 18:12:53,85.57,retail,0,18,1,0,0,0
TXN0000200,2024-01-16 18:35:57,26.93,restaurant,0,18,1,0,0,0
TXN0000201,2024-01-16 20:36:50,55.77,online,0,20,1,0,0,0
TXN0000202,2024-01-16 20:50:29,5.45,travel,1,20,1,0,0,0
TXN0000203,2024-01-16 23:43:15,1.4,retail,0,23,1,0,0,0
TXN0000204,2024-01-17 00:53:54,52.09,entertainment,0,0,2,0,0,0
TXN0000205,2024-01-17 02:56:16,55.56,grocery,1,2,2,0,0,0
TXN0000206,2024-01-17 02:58:26,58.59,grocery,1,2,2,0,0,0
TXN0000207,2024-01-17 07:07:33,17.64,travel,1,7,2,0,0,0
TXN0000208,2024-01-17 08:18:54,197.88,healthcare,1,8,2,0,0,0
TXN0000209,2024-01-17 09:00:36,19.07,grocery,0,9,2,0,0,0
TXN0000210,2024-01-17 09:09:05,54.87,grocery,0,9,2,0,0,0
TXN0000211,2024-01-17 09:25:01,67.6,grocery,1,9,2,0,0,0
TXN0000212,2024-01-17 09:26:25,260.47,entertainment,1,9,2,0,0,0
TXN0000213,2024-01-17 11:12:18,22.64,grocery,1,11,2,0,0,0
TXN0000214,2024-01-17 11:42:59,15.12,retail,1,11,2,0,0,0
TXN0000215,2024-01-17 15:46:32,5.49,healthcare,1,15,2,0,0,0
TXN0000216,2024-01-17 17:35:50,213.33,grocery,1,17,2,0,1,1
TXN0000217,2024-01-17 17:42:38,54.91,retail,0,17,2,0,0,0
TXN0000218,2024-01-17 18:38:17,57.04,retail,0,18,2,0,0,0
TXN0000219,2024-01-17 21:44:01,1394.16,online,0,21,2,0,0,0
TXN0000220,2024-01-18 01:39:02,48.91,restaurant,1,1,3,0,0,0
TXN0000221,2024-01-18 05:54:46,6.94,restaurant,0,5,3,0,0,0
TXN0000222,2024-01-18 06:58:59,26.18,grocery,1,6,3,0,0,0
TXN0000223,2024-01-18 06:59:47,10.28,online,1,6,3,0,0,0
TXN0000224,2024-01-18 08:13:11,20.59,online,1,8,3,0,0,0
TXN0000225,2024-01-18 14:53:47,20.43,grocery,1,14,3,0,0,0
TXN0000226,2024-01-18 17:28:01,16.37,restaurant,1,17,3,0,0,0
TXN0000227,2024-01-18 18:35:55,6.22,entertainment,1,18,3,0,1,0
TXN0000228,2024-01-18 20:55:19,223.86,grocery,1,20,3,0,0,0
TXN0000229,2024-01-18 21:53:19,47.4,restaurant,0,21,3,0,0,0
TXN0000230,2024-01-18 22:16:14,25.27,retail,1,22,3,0,0,0
TXN0000231,2024-01-18 23:27:57,82.2,restaurant,1,23,3,0,0,0
TXN0000232,2024-01-19 01:15:43,58.28,restaurant,0,1,4,0,0,0
TXN0000233,2024-01-19 03:23:20,46.1,retail,1,3,4,0,0,0
TXN0000234,2024-01-19 06:56:04,75.34,grocery,1,6,4,0,0,0
TXN0000235,2024-01-19 07:16:49,38.89,retail,0,7,4,0,0,0
TXN0000236,2024-01-19 09:19:35,74.01,travel,1,9,4,0,0,1
TXN0000237,2024-01-19 10:33:09,81.76,retail,1,10,4,0,0,0
TXN0000238,2024-01-19 10:41:42,40.26,grocery,1,10,4,0,0,0
TXN0000239,2024-01-19 13:18:04,25.42,online,1,13,4,1,0,0
TXN0000240,2024-01-19 13:32:58,207.78,grocery,0,13,4,0,0,0
TXN0000241,2024-01-19 13:42:54,18.66,online,1,13,4,0,0,0
TXN0000242,2024-01-19 14:16:12,52.96,restaurant,1,14,4,0,0,0
TXN0000243,2024-01-19 14:24:49,54.42,online,0,14,4,0,0,0
TXN0000244,2024-01-19 16:56:14,15.94,grocery,0,16,4,0,0,0
TXN0000245,2024-01-19 18:25:54,12.56,grocery,1,18,4,0,0,0
TXN0000246,2024-01-19 18:42:32,21.66,retail,1,18,4,0,0,0
TXN0000247,2024-01-19 20:31:24,18.34,grocery,0,20,4,0,0,0
TXN0000248,2024-01-19 21:04:48,5.76,grocery,1,21,4,0,0,0
TXN0000249,2024-01-19 21:19:39,15.15,online,1,21,4,0,0,0
TXN0000250,2024-01-19 22:44:59,45.58,online,1,22,4,0,0,0
TXN0000251,2024-01-19 23:09:43,151.28,grocery,0,23,4,0,0,0
TXN0000252,2024-01-19 23:11:09,64.41,entertainment,1,23,4,0,0,0
TXN0000253,2024-01-20 04:33:56,1.46,online,1,4,5,0,0,0
TXN0000254,2024-01-20 06:35:24,71.49,entertainment,0,6,5,0,0,0
TXN0000255,2024-01-20 08:30:25,16.95,travel,1,8,5,0,0,0
TXN0000256,2024-01-20 11:37:32,57.04,travel,1,11,5,0,0,0
TXN0000257,2024-01-20 17:53:15,32.56,retail,1,17,5,0,0,0
TXN0000258,2024-01-20 21:25:21,26.28,travel,0,21,5,0,0,0
TXN0000259,2024-01-21 01:13:49,29.29,fuel,1,1,6,0,0,0
TXN0000260,2024-01-21 02:16:13,32.24,grocery,0,2,6,0,0,0
TXN0000261,2024-01-21 03:38:21,166.22,restaurant,1,3,6,0,0,0
TXN0000262,2024-01-21 04:10:07,32.34,grocery,1,4,6,0,0,0
TXN0000263,2024-01-21 05:15:49,121.83,fuel,0,5,6,0,0,0
TXN0000264,2024-01-21 06:46:29,102.3,retail,1,6,6,0,0,0
TXN0000265,2024-01-21 06:56:32,73.73,travel,1,6,6,0,0,0
TXN0000266,2024-01-21 07:58:31,3.88,online,0,7,6,0,0,0
TXN0000267,2024-01-21 10:05:54,126.46,healthcare,1,10,6,0,0,0
TXN0000268,2024-01-21 13:05:23,19.12,grocery,1,13,6,0,0,0
TXN0000269,2024-01-21 13:27:01,78.17,online,0,13,6,0,0,0
TXN0000270,2024-01-21 16:48:58,10.31,entertainment,1,16,6,1,0,0
TXN0000271,2024-01-21 19:43:34,7.99,grocery,0,19,6,0,1,0
TXN0000272,2024-01-21 20:10:53,354.84,online,1,20,6,0,0,0
TXN0000273,2024-01-21 21:21:06,10.5,restaurant,1,21,6,0,0,0
TXN0000274,2024-01-22 03:36:04,131.02,travel,0,3,0,0,1,0
TXN0000275,2024-01-22 04:55:26,38.17,retail,1,4,0,0,0,0
TXN0000276,2024-01-22 05:01:49,20.0,restaurant,0,5,0,0,0,0
TXN0000277,2024-01-22 05:16:42,31.38,grocery,0,5,0,0,0,0
TXN0000278,2024-01-22 06:27:04,6.95,grocery,0,6,0,0,0,0
TXN0000279,2024-01-22 06:43:55,32.57,grocery,1,6,0,0,0,0
TXN0000280,2024-01-22 10:22:32,9.03,travel,1,10,0,0,0,0
TXN0000281,2024-01-22 11:30:47,20.6,restaurant,0,11,0,0,0,0
TXN0000282,2024-01-22 13:11:00,100.52,grocery,1,13,0,0,0,0
TXN0000283,2024-01-22 13:58:47,44.93,travel,0,13,0,0,0,0
TXN0000284,2024-01-22 14:38:02,5.59,travel,0,14,0,0,0,0
TXN0000285,2024-01-22 16:21:59,92.0,retail,1,16,0,1,0,0
TXN0000286,2024-01-22 17:06:12,32.83,fuel,1,17,0,0,0,0
TXN0000287,2024-01-22 20:03:40,17.28,restaurant,1,20,0,0,0,0
TXN0000288,2024-01-22 23:35:50,81.13,online,1,23,0,1,0,0
TXN0000289,2024-01-23 00:08:40,27.1,grocery,1,0,1,1,0,0
TXN0000290,2024-01-23 00:29:52,8.18,online,1,0,1,0,0,0
TXN0000291,2024-01-23 01:20:17,304.1,healthcare,0,1,1,0,0,0
TXN0000292,2024-01-23 02:13:45,32.44,online,1,2,1,0,0,0
TXN0000293,2024-01-23 03:05:32,30.03,retail,1,3,1,0,0,0
TXN0000294,2024-01-23 03:07:31,20.37,retail,0,3,1,0,0,0
TXN0000295,2024-01-23 07:29:08,136.45,restaurant,0,7,1,1,0,0
TXN0000296,2024-01-23 07:31:34,17.64,travel,0,7,1,0,0,0
TXN0000297,2024-01-23 07:38:52,5.19,online,1,7,1,0,0,0
TXN0000298,2024-01-23 08:47:02,14.67,healthcare,0,8,1,0,0,0
TXN0000299,2024-01-23 09:10:28,162.74,retail,0,9,1,0,0,0
TXN0000300,2024-01-23 10:32:09,89.89,grocery,0,10,1,0,0,0
TXN0000301,2024-01-23 15:40:22,24.39,retail,1,15,1,0,0,0
TXN0000302,2024-01-23 17:58:58,172.07,grocery,1,17,1,1,0,0
TXN0000303,2024-01-24 00:54:23,81.25,grocery,1,0,2,0,0,0
TXN0000304,2024-01-24 02:45:26,24.05,restaurant,1,2,2,0,0,0
TXN0000305,2024-01-24 07:02:20,27.14,online,1,7,2,0,0,0
TXN0000306,2024-01-24 09:45:50,49.16,grocery,0,9,2,1,0,0
TXN0000307,2024-01-24 16:56:01,12.2,grocery,1,16,2,0,0,0
TXN0000308,2024-01-24 17:01:10,33.29,grocery,0,17,2,0,0,0
TXN0000309,2024-01-24 18:48:59,47.95,entertainment,1,18,2,0,0,0
TXN0000310,2024-01-24 22:02:47,4.37,travel,0,22,2,0,0,0
TXN0000311,2024-01-25 02:42:01,26.39,grocery,1,2,3,0,0,0
TXN0000312,2024-01-25 02:51:13,23.02,grocery,1,2,3,0,0,0
TXN0000313,2024-01-25 05:38:56,113.71,retail,1,5,3,0,0,0
TXN0000314,2024-01-25 06:53:51,3.62,restaurant,0,6,3,1,0,0
TXN0000315,2024-01-25 07:03:20,20.95,retail,1,7,3,1,0,0
TXN0000316,2024-01-25 08:20:19,18.58,retail,1,8,3,0,0,0
TXN0000317,2024-01-25 09:23:36,104.8,fuel,0,9,3,1,0,0
TXN0000318,2024-01-25 10:43:38,31.43,restaurant,1,10,3,0,0,0
TXN0000319,2024-01-25 12:17:01,285.81,travel,1,12,3,0,0,0
TXN0000320,2024-01-25 12:22:48,73.31,grocery,1,12,3,0,0,0
TXN0000321,2024-01-25 14:11:56,20.24,fuel,1,14,3,0,0,0
TXN0000322,2024-01-25 15:27:42,44.15,healthcare,1,15,3,0,0,0
TXN0000323,2024-01-25 15:32:21,21.65,online,1,15,3,0,0,0
TXN0000324,2024-01-25 16:33:05,92.88,retail,1,16,3,0,0,0
TXN0000325,2024-01-25 16:53:52,6.7,grocery,1,16,3,0,0,0
TXN0000326,2024-01-25 18:58:45,12.32,online,0,18,3,1,0,0
TXN0000327,2024-01-25 19:42:55,57.22,online,0,19,3,0,0,0
TXN0000328,2024-01-25 20:15:43,144.16,grocery,1,20,3,0,0,0
TXN0000329,2024-01-25 21:39:06,2.36,retail,1,21,3,0,0,0
TXN0000330,2024-01-26 01:07:07,172.32,retail,1,1,4,0,0,0
TXN0000331,2024-01-26 03:34:58,27.99,online,0,3,4,0,0,0
TXN0000332,2024-01-26 05:39:01,3.45,travel,1,5,4,0,0,0
TXN0000333,2024-01-26 05:39:57,0.9,travel,0,5,4,0,0,0
TXN0000334,2024-01-26 06:24:56,5.28,travel,1,6,4,0,0,0
TXN0000335,2024-01-26 10:03:07,32.34,restaurant,1,10,4,0,0,0
TXN0000336,2024-01-26 11:33:14,30.6,restaurant,0,11,4,0,0,0
TXN0000337,2024-01-26 12:36:03,70.8,grocery,1,12,4,0,0,0
TXN0000338,2024-01-26 14:57:46,17.13,online,1,14,4,0,0,0
TXN0000339,2024-01-26 17:45:30,8.76,retail,1,17,4,0,0,0
TXN0000340,2024-01-26 22:16:38,20.17,retail,1,22,4,0,0,0
TXN0000341,2024-01-27 00:06:05,34.48,grocery,1,0,5,0,0,0
TXN0000342,2024-01-27 00:37:39,43.68,grocery,0,0,5,0,0,0
TXN0000343,2024-01-27 02:36:03,12.85,retail,1,2,5,1,0,0
TXN0000344,2024-01-27 04:34:32,97.68,grocery,1,4,5,0,0,0
TXN0000345,2024-01-27 04:56:34,15.71,grocery,1,4,5,0,0,0
TXN0000346,2024-01-27 05:09:43,11.66,online,1,5,5,0,0,0
TXN0000347,2024-01-27 05:24:32,17.27,restaurant,0,5,5,1,0,0
TXN0000348,2024-01-27 05:30:45,120.28,restaurant,1,5,5,0,0,0
TXN0000349,2024-01-27 07:14:17,28.24,retail,1,7,5,0,0,0
